"","Iteration","SampleRemoved","Recall","Unique","PeakNumber","SampleUnique","SampleConserved","UniqueAccum","SampleSpecificPrec","SampleSpecificRecall","PercentUnique"
"1",1,"None",1,0,6009,0,6009,0,1,1,0
"2",2,"B011-AP0C1W3",0.885172241637544,835,6154,835,5319,0.138958229322683,0.864315892102697,0.885172241637544,0.135684107897303
"3",3,"B011-AP0C1W8",0.830920286237311,6327,5943,738,5205,1.05292061907139,0.875820292781423,0.866200698951573,0.124179707218576
"4",4,"B011-AP0C2W1",0.784822765851223,6894,5918,839,5079,1.14727908137793,0.858229131463332,0.845232151772341,0.141770868536668
"5",5,"B011-AP0C2W2",0.765518389083042,7204,6022,813,5209,1.19886836412049,0.864995018266357,0.866866367115993,0.135004981733643
"6",6,"B011-AP0C2W7",0.744882675986021,7512,6046,891,5155,1.25012481278083,0.852629837909362,0.857879846896322,0.147370162090638
"7",7,"B021-AP0C1W6",0.653020469296056,7894,5304,826,4478,1.31369612248294,0.844268476621418,0.745215510068231,0.155731523378582
"8",8,"B021-AP0C2W8",0.63920785488434,8199,6119,996,5123,1.36445332001997,0.83722830527864,0.852554501580962,0.16277169472136
"9",9,"B024-AP0C1W3",0.590114827758362,8504,5286,762,4524,1.415210517557,0.855845629965948,0.752870693959061,0.144154370034052
"10",10,"B024-AP0C1W7",0.586287235812947,8810,6715,1313,5402,1.46613413213513,0.804467609828742,0.898984856049259,0.195532390171258
"11",11,"B024-AP0C2W7",0.470793809286071,9620,5135,1426,3709,1.60093193543019,0.722297955209348,0.617240805458479,0.277702044790652
"12",12,"B025_FSQCAZ0BP8K-01",0.46214012314861,9866,5924,1030,4894,1.64187052754202,0.826130992572586,0.814444999167915,0.173869007427414
"13",13,"B025_FSQEAZ0BTRD-01",0.434182060242969,10646,5998,1781,4217,1.77167581960393,0.703067689229743,0.701780662339824,0.296932310770257
"14",14,"B025_FSQHAZ0BXYJ-01",0.411382925611583,11404,6236,2003,4233,1.89781993676152,0.678800513149455,0.704443334997504,0.321199486850545
"15",15,"B025_FSQJAZ0BH54-01",0.404393409885172,11601,5811,1046,4765,1.93060409385921,0.819996558251592,0.792977200865369,0.180003441748408
"16",16,"B025_FSQJAZ0BKGD-01",0.403062073556332,11710,6369,1165,5204,1.94874355133966,0.817082744543884,0.866034281910468,0.182917255456116
"17",17,"B025_FSQJAZ0BS71-01",0.401897154268597,11972,6816,1609,5207,1.99234481610917,0.76393779342723,0.866533533033783,0.23606220657277
"18",18,"B025_FSQJAZ0BSS6-01",0.383092028623731,12420,5804,1699,4105,2.06689965052421,0.707270847691247,0.683141953736063,0.292729152308753
"19",19,"B033_FSQEAZ0BCPQ-03",0.382925611582626,12440,6281,928,5353,2.07022799134631,0.852252825983124,0.890830421035114,0.147747174016876
"20",20,"B033_FSQHAZ0BH94-03",0.382592777500416,12559,6762,1446,5316,2.09003161923781,0.786157941437445,0.884672990514229,0.213842058562555
"21",21,"B033_FSQHAZ0BVVL-04",0.382259943418206,12583,6302,990,5312,2.09402562822433,0.842907013646461,0.884007322349809,0.157092986353539
"22",22,"B033_FSQKAZ0BWRX-03",0.36944583125312,12892,5661,1534,4127,2.14544849392578,0.729023140787847,0.686803128640373,0.270976859212153
"23",23,"B037_FSQAAZ0BZHX-01",0.344483275087369,13115,4751,1134,3617,2.1825594940922,0.761313407703641,0.601930437676818,0.238686592296359
"24",24,"B037_FSQDAZ0C3CM-01",0.334664669662173,13325,5412,1362,4050,2.21750707272425,0.748337028824834,0.673989016475287,0.251662971175166
"25",25,"B037_FSQFAZ0BFPC-01",0.334331835579963,13353,6135,940,5195,2.22216674987519,0.846780766096169,0.864536528540523,0.15321923390383
"26",26,"B037_FSQFAZ0BNXT-03",0.334331835579963,13380,6424,1142,5282,2.22666000998502,0.822229140722291,0.879014811116658,0.177770859277709
"27",27,"B037_FSQHAZ0C2DL-01",0.305042436345482,13534,4080,860,3220,2.25228823431519,0.78921568627451,0.535862872358129,0.21078431372549
