"","Iteration","SampleRemoved","Conserved","Unique","PeakNumber","SampleUnique","SampleConserved","UniqueAccum","Recall","SampleSpecificPrec","SampleSpecificRecall","PercentUnique"
"1",1,"None",1264,0,1264,0,1264,0,1,1,1,0
"2",2,"B011-AP0C1W3",1232,56,1288,56,1232,0.0443037974683544,0.974683544303797,0.956521739130435,0.974683544303797,0.0434782608695652
"3",3,"B011-AP0C1W8",1190,81,1241,31,1210,0.0640822784810127,0.941455696202532,0.975020145044319,0.957278481012658,0.0249798549556809
"4",4,"B011-AP0C2W1",1120,102,1185,41,1144,0.0806962025316456,0.886075949367089,0.965400843881857,0.905063291139241,0.0345991561181435
"5",5,"B011-AP0C2W2",1104,112,1225,22,1203,0.0886075949367089,0.873417721518987,0.982040816326531,0.951740506329114,0.0179591836734694
"6",6,"B011-AP0C2W7",1084,135,1224,52,1172,0.106803797468354,0.857594936708861,0.957516339869281,0.927215189873418,0.042483660130719
"7",7,"B021-AP0C1W6",941,179,1049,61,988,0.141613924050633,0.744462025316456,0.94184938036225,0.781645569620253,0.0581506196377502
"8",8,"B021-AP0C2W8",926,199,1174,51,1123,0.15743670886076,0.732594936708861,0.956558773424191,0.888449367088608,0.0434412265758092
"9",9,"B024-AP0C1W3",815,222,985,34,951,0.175632911392405,0.644778481012658,0.965482233502538,0.752373417721519,0.0345177664974619
"10",10,"B024-AP0C1W7",813,268,1320,109,1211,0.212025316455696,0.643196202531646,0.917424242424242,0.958069620253165,0.0825757575757576
"11",11,"B024-AP0C2W7",784,290,1119,70,1049,0.229430379746835,0.620253164556962,0.937444146559428,0.829905063291139,0.0625558534405719
"12",12,"B025_FSQCAZ0BP8K-01",775,319,1184,70,1114,0.252373417721519,0.613132911392405,0.940878378378378,0.881329113924051,0.0591216216216216
"13",13,"B025_FSQEAZ0BTRD-01",775,319,1254,22,1232,0.252373417721519,0.613132911392405,0.982456140350877,0.974683544303797,0.0175438596491228
"14",14,"B025_FSQHAZ0BXYJ-01",773,383,1353,161,1192,0.303006329113924,0.611550632911392,0.8810051736881,0.943037974683544,0.118994826311899
"15",15,"B025_FSQJAZ0BH54-01",759,400,1103,46,1057,0.316455696202532,0.600474683544304,0.958295557570263,0.83623417721519,0.0417044424297371
"16",16,"B025_FSQJAZ0BKGD-01",759,409,1241,64,1177,0.323575949367089,0.600474683544304,0.94842868654311,0.931170886075949,0.0515713134568896
"17",17,"B025_FSQJAZ0BS71-01",757,446,1299,124,1175,0.352848101265823,0.598892405063291,0.904541955350269,0.929588607594937,0.0954580446497306
"18",18,"B025_FSQJAZ0BSS6-01",756,458,1250,71,1179,0.362341772151899,0.598101265822785,0.9432,0.932753164556962,0.0568
"19",19,"B033_FSQEAZ0BCPQ-03",756,458,1294,49,1245,0.362341772151899,0.598101265822785,0.962132921174652,0.98496835443038,0.0378670788253478
"20",20,"B033_FSQHAZ0BH94-03",756,472,1328,120,1208,0.373417721518987,0.598101265822785,0.909638554216867,0.955696202531646,0.0903614457831325
"21",21,"B033_FSQHAZ0BVVL-04",756,474,1274,54,1220,0.375,0.598101265822785,0.957613814756672,0.965189873417722,0.0423861852433281
"22",22,"B033_FSQKAZ0BWRX-03",756,477,1225,44,1181,0.377373417721519,0.598101265822785,0.964081632653061,0.934335443037975,0.0359183673469388
"23",23,"B037_FSQAAZ0BZHX-01",744,482,1055,41,1014,0.381329113924051,0.588607594936709,0.961137440758294,0.802215189873418,0.0388625592417062
"24",24,"B037_FSQDAZ0C3CM-01",744,483,1175,35,1140,0.382120253164557,0.588607594936709,0.970212765957447,0.901898734177215,0.0297872340425532
"25",25,"B037_FSQFAZ0BFPC-01",744,485,1263,48,1215,0.38370253164557,0.588607594936709,0.961995249406176,0.96123417721519,0.0380047505938242
"26",26,"B037_FSQFAZ0BNXT-03",744,488,1289,73,1216,0.386075949367089,0.588607594936709,0.943366951124903,0.962025316455696,0.056633048875097
"27",27,"B037_FSQHAZ0C2DL-01",702,505,1047,78,969,0.399525316455696,0.555379746835443,0.925501432664756,0.766613924050633,0.0744985673352436
"28",28,"B038_FSQCAZ0BFDX-03",702,511,1254,67,1187,0.404272151898734,0.555379746835443,0.946570972886762,0.939082278481013,0.0534290271132376
"29",29,"B038_FSQDAZ0CB41-01",702,593,1515,282,1233,0.469145569620253,0.555379746835443,0.813861386138614,0.975474683544304,0.186138613861386
"30",30,"B038_FSQEAZ0CBL1-01",699,593,1129,36,1093,0.469145569620253,0.553006329113924,0.968113374667848,0.864715189873418,0.0318866253321523
"31",31,"B038_FSQFAZ0CBQN-01",699,599,1223,65,1158,0.473892405063291,0.553006329113924,0.946852003270646,0.916139240506329,0.053147996729354
"32",32,"B038_FSQKAZ0BG6W-01",693,608,1138,74,1064,0.481012658227848,0.548259493670886,0.934973637961336,0.841772151898734,0.0650263620386643
"33",33,"B038_FSQKAZ0C234-01",693,611,1248,65,1183,0.483386075949367,0.548259493670886,0.947916666666667,0.935917721518987,0.0520833333333333
"34",34,"FSQAAZ0C1RW-02",691,614,1131,26,1105,0.485759493670886,0.546677215189873,0.977011494252874,0.874208860759494,0.0229885057471264
"35",35,"FSQBAZ0BSRC-01",691,616,1311,74,1237,0.487341772151899,0.546677215189873,0.943554538520214,0.978639240506329,0.0564454614797864
"36",36,"FSQBAZ0C08Q-02",687,719,1493,313,1180,0.568829113924051,0.543512658227848,0.790354989953114,0.933544303797468,0.209645010046885
"37",37,"FSQDAZ0BDS2-03",687,719,1244,40,1204,0.568829113924051,0.543512658227848,0.967845659163987,0.95253164556962,0.0321543408360129
"38",38,"FSQDAZ0BXW1-02",687,719,1215,31,1184,0.568829113924051,0.543512658227848,0.974485596707819,0.936708860759494,0.0255144032921811
"39",39,"FSQEAZ0C2D3-02",458,735,622,43,579,0.581487341772152,0.362341772151899,0.930868167202572,0.458069620253165,0.0691318327974277
"40",40,"FSQFAZ0BZJQ-02",458,735,1180,31,1149,0.581487341772152,0.362341772151899,0.973728813559322,0.909018987341772,0.026271186440678
