"Common","Unique","missed","Recall","Precision","CountUnique","RelativeUnique","F1","Conserved_Recall","Perc"
6211,0,0,1,1,0,0,1,6211,1
5755,743,456,0.926581870874255,0.885657125269314,743,0.119626469167606,0.905657408135967,5755,0.926581870874255
5460,505,751,0.879085493479311,0.91533948030176,1109,0.178554178071164,0.896846254927727,5303,0.853807760425052
5057,201,1154,0.814200611817743,0.961772537086345,1222,0.196747705683465,0.881855436393757,4866,0.78344872001288
5330,404,881,0.858154886491708,0.929543076386467,1430,0.230236676863629,0.892423608204269,4772,0.768314281114152
5520,417,691,0.888745773627435,0.929762506316321,1611,0.259378521977137,0.90879157062891,4746,0.764128159716632
4891,55,1320,0.787473836741265,0.98887990295188,1623,0.261310578006762,0.876758985390338,4595,0.739816454677186
5101,162,1110,0.8212848172597,0.969219076572297,1674,0.269521816132668,0.889140665853233,4558,0.733859281919176
4902,43,1309,0.789244888101755,0.991304347826087,1687,0.271614876831428,0.878809609178917,4509,0.725970053131541
5806,622,405,0.934793109000161,0.903235843186061,1941,0.312510062791821,0.918743571485086,4509,0.725970053131541
5504,1009,707,0.886169698921269,0.845079072623983,2475,0.398486556110127,0.865136749449859,4454,0.717114796329094
5459,239,752,0.878924488810175,0.958055458055458,2515,0.404926742875543,0.916785624317743,4454,0.717114796329094
5731,1883,480,0.922717758815006,0.752692408720777,3689,0.593946224440509,0.829077757685353,4430,0.713250684269844
5848,1523,363,0.941555305103848,0.793379460046127,4203,0.676702624376107,0.86113974377853,4426,0.712606665593302
5394,183,817,0.868459185316374,0.967186659494352,4209,0.677668652390919,0.9151679674245,4426,0.712606665593302
5647,474,564,0.909193366607632,0.92256167292926,4249,0.684108839156336,0.915828738241972,4425,0.712445660924167
5852,544,359,0.94219932378039,0.91494684177611,4291,0.690871035260023,0.928373126041088,4425,0.712445660924167
5479,968,732,0.882144582192884,0.849852644640918,4518,0.727419095153759,0.865697582556486,4418,0.711318628240219
6161,2183,50,0.99194976654323,0.738374880153404,4942,0.795685074867171,0.846581930608038,4418,0.711318628240219
6078,1181,133,0.978586379004991,0.837305413968866,5002,0.805345355015295,0.902449888641425,4418,0.711318628240219
6017,1373,194,0.968765094187731,0.814208389715832,5103,0.821606826597971,0.884787883243879,4418,0.711318628240219
5057,609,1154,0.814200611817743,0.892516766678433,5167,0.831911125422637,0.851561842216048,4340,0.698760264047657
4593,302,1618,0.739494445338915,0.938304392236976,5183,0.834487200128804,0.827120475418692,4141,0.666720334889712
4807,418,1404,0.773949444533891,0.92,5213,0.839317340202866,0.840678558936691,4086,0.657865078087265
5965,978,246,0.96039285139269,0.859138700849777,5241,0.843825470938657,0.906948456743196,4086,0.657865078087265
5922,1054,289,0.953469650619868,0.848910550458716,5267,0.848011592336178,0.898157276105255,4086,0.657865078087265
5376,681,835,0.865561101271937,0.887568103021298,5321,0.85670584446949,0.87642647538311,4085,0.657704073418129
5821,648,390,0.937208179037192,0.899829958262483,5325,0.857349863146031,0.91813880126183,4085,0.657704073418129
5998,2048,213,0.965706005474159,0.745463584389759,5537,0.891482853002737,0.841411236585537,4085,0.657704073418129
4895,470,1316,0.788117855417807,0.912395153774464,5551,0.893736918370633,0.845715272978576,4060,0.653678956689744
5301,766,910,0.853485751086781,0.873743200923026,5590,0.900016100466913,0.863495683336048,4059,0.653517952020609
5631,398,580,0.906617291901465,0.933985735611212,5590,0.900016100466913,0.920098039215686,4059,0.653517952020609
5406,763,805,0.870391241345999,0.876317069217053,5622,0.905168249879246,0.873344103392569,4059,0.653517952020609
4810,398,1401,0.774432458541298,0.92357910906298,5628,0.906134277894059,0.842455556528593,4019,0.647077765255192
6016,1410,195,0.968604089518596,0.810126582278481,5678,0.914184511350829,0.882305492410354,4019,0.647077765255192
5915,1640,296,0.95234261793592,0.782925215089345,5745,0.924971824182901,0.859363649571408,4019,0.647077765255192
5540,540,671,0.891965867010143,0.911184210526316,5750,0.925776847528578,0.901472622243918,4019,0.647077765255192
4778,477,1433,0.769280309128965,0.909229305423406,5757,0.926903880212526,0.833420547706262,4000,0.64401867654162
5434,762,777,0.87489937208179,0.877017430600387,5773,0.929479954918693,0.875957120980092,4000,0.64401867654162
4759,467,1452,0.766221220415392,0.910639112131649,5782,0.930928996940911,0.832211244207397,3990,0.642408629850266
