"","V1","X.Intercept.","Age","sex_at_birthmale","time","time_sqrd","X.Intercept._pval","Age_pval","sex_at_birthmale_pval","time_pval","time_sqrd_pval","TimeSignificant","TF","FDR"
"1",1,0.411624936600644,0.00289939460600689,-0.384045638249991,0.0143214902816047,-0.000188687158049084,0.300513389766529,0.688450530392611,0.0910784975055075,0.00434596294017546,0.114882638889476,TRUE,"TFAP2B",0.0268155160138486
"2",2,-0.0348701186333571,-0.000768174418534683,0.315718104868894,0.00429069694054643,-5.28040624264279e-05,0.968581381732781,0.963049677888087,0.548818026741066,0.635376274184005,0.810001063308303,FALSE,"TFAP2D",0.790213809378063
"3",3,-0.239907913102909,0.0154032193901125,-0.315852715407698,0.0118751491386234,-0.000226764619858523,0.622326441424352,0.100964040731687,0.277246070224676,0.0231468328767114,0.0718186872192823,TRUE,"TFAP2C",0.0932302990867542
"4",4,-0.0584567070834354,0.00835382850610267,-0.261676839318754,0.016563330605939,-0.00026639286968002,0.913638599992565,0.40866104121241,0.410925041003579,0.00638560567476802,0.0660610543692866,TRUE,"TFAP2E",0.0349401065223156
"5",5,0.251420676749217,-0.00134503573025019,-0.264780960283542,0.00315972038309852,-8.75416855291851e-05,0.641983287679644,0.89481538746762,0.415791789948,0.53588760689124,0.480164791019231,FALSE,"TFAP2A",0.707469223058238
"6",6,-0.267760866485374,0.0181680653605538,-0.175786191143371,-0.00914385694414297,-0.000216322506379831,0.737197417225718,0.244367514487872,0.721159553933146,0.0810688977212998,0.0885852203804907,FALSE,"ARID3A",0.202672244303249
"7",7,-0.57589881392193,0.0109779443815812,-0.212820011130621,0.000621654392081157,7.74055012078828e-05,0.267454366255088,0.256452162134945,0.479019170825446,0.913502623419024,0.57846963632914,FALSE,"ARID5B",0.95407837019754
"8",8,-0.230920114678507,0.0153896704329695,-0.531206718810752,0.000201138652796259,-7.82276735352158e-05,0.619924479337088,0.0731785210891409,0.0474902776408831,0.971972394491109,0.574862802554701,FALSE,"ARID3B",0.982449157188698
"9",9,-0.221979690529588,0.0119187715961837,-0.464203303460651,-0.0093213002251293,-6.57002000968595e-05,0.529570688999728,0.0672767466273189,0.0229344289461563,0.0345725240024721,0.53436658451775,FALSE,"ARID5A",0.107126327613638
"10",10,-0.362934842241849,0.0209314918271744,-0.313297041685449,0.00583526200821966,-0.00027744403482479,0.451684518677732,0.0286368289056576,0.273254595900804,0.264899128671738,0.0318098520532636,FALSE,"ARID3C",0.46113939474476
"11",11,-0.441049025003522,0.0122770399300324,-0.10062982031182,0.0048518127131796,-0.000199159048157139,0.497140070241832,0.325164723711725,0.797830398071612,0.353302555486497,0.119145963667118,FALSE,"ARID2",0.551366329991864
"12",12,-1.14048455755754,0.0242577021384599,0.209914176413517,-0.0031311798495907,-2.79859887693821e-05,0.207609812124122,0.157243169939162,0.690687848369191,0.725467616052322,0.897127057015566,FALSE,"HMGA1",0.848329067157957
"13",13,-0.274194831465779,0.00444155622855851,0.0319417513995115,0.00181750204254355,1.1504663504847e-05,0.535874434027193,0.58833017064515,0.900930058130032,0.714003393251724,0.923933556653587,FALSE,"HMGA2",0.839436421795946
"14",14,0.0174075995213191,0.00118168760485282,-0.198075434306484,-0.0145829996830173,4.91353434881956e-05,0.971785376131157,0.897166019706362,0.493112000911401,0.0088544659912023,0.70862163952782,TRUE,"MAX",0.0447871244903837
"15",15,0.505020269010183,-0.0179046024333036,0.62849437270311,-0.000973136714242241,4.7896733744412e-05,0.319778606788394,0.0655401758707267,0.0426117348236138,0.861606669350418,0.724198438863422,FALSE,"MLXIPL",0.919751904705354
"16",16,0.839743983310407,-0.0213308571644559,0.415009468882187,-0.00570466795924102,2.70128246154114e-05,0.23129737640579,0.116014826190636,0.328470966347941,0.308691533362387,0.841803897978348,FALSE,"ARNTL2",0.502924408287035
"17",17,-0.0581305880324087,0.000900441634293183,0.457707569898539,0.00179645745773384,-0.000159572344969697,0.903702130899193,0.91820269906385,0.0968008367626469,0.761330227763184,0.269522884054182,FALSE,"AHRR",0.869071692633651
"18",18,0.508764549143585,-0.0132854131333361,0.408369217733403,-0.00592614835163641,1.68692515530344e-05,0.473249845714026,0.318318351539377,0.330281337787574,0.432294060390433,0.926504055627974,FALSE,"TFE3",0.617826871489763
"19",19,0.695405111014183,-0.00709209755993343,-0.613445192729039,-0.00238972514173679,-0.000124439290490584,0.143395992156875,0.410986931064896,0.0245422051968634,0.680663075369865,0.379531091716334,FALSE,"HES2",0.813429774137064
"20",20,0.0843410380646723,-0.00474782509417378,-0.0843266361043787,-0.0116171915114174,0.000133942053832314,0.882164964710656,0.655387467308129,0.80101179921971,0.0578386665712976,0.362099082336986,FALSE,"MNT",0.159361713766668
"21",21,-0.971416270349599,0.0168855112801649,0.546020720177897,0.00314441092398103,4.00824885431396e-06,0.128338550838002,0.160571174704799,0.153634509298371,0.596772464882556,0.97781261824136,FALSE,"TCF3",0.76351771242327
"22",22,0.86907387177512,-0.0164851320742653,-0.64104026990108,-0.0107845901360623,7.04450964294748e-05,0.046669870574294,0.0388833011572111,0.0104982237653383,0.0449157893264766,0.585259875462167,FALSE,"SREBF1",0.130255789046782
"23",23,-0.113321911185128,0.00772332685946912,-0.512183547846433,-0.0140414283497205,0.000112894119440657,0.851826886399957,0.500458746894514,0.167780368536602,0.0228319473833574,0.441272651163277,TRUE,"TFAP4",0.092389740574516
"24",24,-0.2977263679428,0.00227921081457627,0.0646941822791761,-0.00875593336699688,0.000195358644110833,0.434816164383193,0.742742287211695,0.76465978091462,0.0647053464750632,0.0896839473077782,FALSE,"HIF1A",0.173745837757114
"25",25,-0.00907173736078539,-0.0053266558737308,0.180773105733661,0.00158432718615506,0.000161719202757555,0.987063536319567,0.614931358216406,0.590556350586575,0.763184796749551,0.208381495161369,FALSE,"TCFL5",0.869071692633651
"26",26,0.83096233583862,-0.0190793282549102,0.154456686702621,-0.0231663557571183,0.00014928505146431,0.391723360856214,0.304701589742125,0.792004321958132,0.0036626545006378,0.42338595230981,TRUE,"USF2",0.0236037734485547
"27",27,0.481346947209644,-0.0214058194381604,0.528457416680981,-0.0240998539197236,0.000401475616603488,0.581784888473562,0.204694904505183,0.321704145243743,0.00205057586184944,0.0304359999918129,TRUE,"TFEC",0.014622959014828
"28",28,-0.0581305880324087,0.000900441634293183,0.457707569898539,0.00179645745773384,-0.000159572344969697,0.903702130899193,0.91820269906385,0.0968008367626469,0.761330227763184,0.269522884054182,FALSE,"AHR",0.869071692633651
"29",29,0.438062246212898,-0.0126897736505796,0.422881302568065,0.000433148329537454,-3.85777798804685e-05,0.34029834076939,0.141462484946698,0.120230878708989,0.935138761151454,0.765771496192505,FALSE,"MLX",0.965136078822358
"30",30,-0.480216574946629,0.0123536275356931,-0.0530565086129259,-0.00172627317938607,-2.89578774260313e-05,0.161029675984511,0.049735805334479,0.783661301503262,0.680254238030844,0.776267763346774,FALSE,"MYF6",0.813429774137064
"31",31,-0.269479521110544,0.00551212710776087,-0.27422591000978,-0.00825759254272777,0.000100002393216618,0.548222120253383,0.510759715522182,0.303891408246937,0.0884649932950814,0.391166188800854,FALSE,"SIM1",0.211441055403079
"32",32,0.640968012677656,-0.0179022946180487,0.424993139139238,-0.0201851159661025,0.00017460739317108,0.457048715033938,0.276248389308769,0.41292354638318,0.0116252482463165,0.35638751841938,TRUE,"TFEB",0.0558782650513556
"33",33,-0.151202440005767,0.00268676108086698,-0.137256513551377,-0.00564712399017745,0.000134017322963103,0.749475690253312,0.758338356960295,0.616494113168102,0.308218681438383,0.319999311435339,FALSE,"HAND1",0.502924408287035
"34",34,0.164105891742857,-0.00443635029424481,-0.0062891291814927,0.00146878956453918,7.34917958684648e-05,0.696713669949066,0.563933824860054,0.97900637026352,0.776762064766454,0.560253188906157,FALSE,"HES1",0.873104646442913
"35",35,0.0847129099707246,-0.00688671148636581,0.5396294881738,-0.00990900243798423,2.9077906691053e-05,0.880867587875536,0.519406224121217,0.121550266783971,0.074938334532188,0.827175054179206,FALSE,"ID2",0.190076825198261
"36",36,0.206304064302911,-0.0110618502910587,0.215339345270496,-0.0125593342716813,0.000144740807261241,0.685645602892546,0.254090231046604,0.477144346005154,0.0192001821321919,0.25726862889501,TRUE,"EPAS1",0.0818831296814066
"37",37,0.260732719661015,-0.00581136539972989,0.099474914631363,-0.00701415037071674,-9.69020833096e-06,0.591185933395373,0.524696698117071,0.729646866153297,0.147159903494382,0.933642796317362,FALSE,"MYCL1",0.314567852678409
"38",38,-0.814439366557717,0.0174168024942881,0.388306250911012,0.00132692884075362,-0.000142031882611916,0.246110889155927,0.193425433991433,0.356212522416584,0.830150879278182,0.346107486645615,FALSE,"ID3",0.908466999964803
"39",39,0.0439891142284361,-0.00766716538507126,0.0491877827847446,-0.00824523017938693,0.00024445841458081,0.918331368376336,0.344874900737842,0.845531029880848,0.0734710364910953,0.0301633796936904,FALSE,"TCF21",0.187448098965551
"40",40,0.837059093993372,-0.0190553352868214,0.00363940193005723,-0.00990415438859641,1.67202702641356e-05,0.18362157091969,0.116545834614657,0.992247452445141,0.0491450562033361,0.889134239754463,FALSE,"MXI1",0.140184258678369
"41",41,-0.00769494032943285,0.0140842677621441,-0.503932777258607,-0.006495359095496,-0.000298394966547809,0.991671282065945,0.321324452024508,0.267389214737366,0.306185189280355,0.0558110558812377,FALSE,"MYOG",0.502890099075399
"42",42,-0.267181010368174,0.0165090832142342,-0.325707063058237,0.00495250720880082,-0.000183403954110202,0.598482168921975,0.0906511670188893,0.27738529374278,0.38335400020974,0.186192957196797,FALSE,"TWIST1",0.576024145392873
"43",43,0.403573699101183,-0.0101846886981373,-0.104657069515358,0.00469531793489693,3.50932816791596e-05,0.404386636186969,0.259350843298271,0.706654770249749,0.402059298049359,0.796200268267561,FALSE,"NEUROG3",0.590864171119835
"44",44,0.230959473267285,-0.00985575266184831,0.488313314357647,-0.00583931780779068,8.22522268500391e-05,0.735605364094203,0.454884891805175,0.25270745083016,0.231360409401044,0.485074415507159,FALSE,"BHLHE41",0.422864613821236
"45",45,0.274502594960814,-0.012231823090069,-0.0819302236048879,0.00293867863249769,0.00023024682981486,0.52619368064025,0.124381170850964,0.738799256426039,0.58124309912303,0.078761600399142,FALSE,"BHLHE23",0.748061740026575
"46",46,-0.170349201040012,0.00147850006900824,-0.0299555855012321,-0.00526597635523478,0.000121856804660333,0.741905665888117,0.878204873330202,0.921506095866576,0.334783046850644,0.358104473004419,FALSE,"TCF15",0.529565910472837
"47",47,0.0847129099707246,-0.00688671148636581,0.5396294881738,-0.00990900243798423,2.9077906691053e-05,0.880867587875536,0.519406224121217,0.121550266783971,0.074938334532188,0.827175054179206,FALSE,"ID1",0.190076825198261
"48",48,-0.344228896487885,0.0127920778540312,-0.0636085950020042,0.00335803142896702,-5.50362734181051e-05,0.487748227163716,0.17286771406181,0.824086640818561,0.553106361968644,0.689068644479923,FALSE,"MYOD1",0.723612834455219
"49",49,-0.269479521110544,0.00551212710776087,-0.27422591000978,-0.00825759254272777,0.000100002393216618,0.548222120253383,0.510759715522182,0.303891408246937,0.0884649932950814,0.391166188800854,FALSE,"NPAS1",0.211441055403079
"50",50,0.932084116959081,-0.0175426515014927,0.298115362671633,-0.00455308452353595,-3.62666676530011e-05,0.180911250886532,0.186031720295567,0.473752628057076,0.428777263493466,0.794555557450313,FALSE,"ARNTL",0.615571318876758
