"","seqnames","start","end","width","strand","name","tx_id","tx_name","exactTSS","idx","Log2FC","FDR","MeanDiff","Log2FC_C"
"1","chr1",923798,923922,125,"+","SAMD11",15,"NM_001385640",923923,18,0.945591126664927,0.0566076191998563,0.0238303199418972,0.945591126664927
"2","chr1",925606,925730,125,"+","SAMD11",17,"NM_152486",925731,21,1.24305726051838,0.288807969655448,0.00878114265709503,1.24305726051838
"3","chr1",6785199,6785323,125,"+","CAMTA1",155,"NM_001242701",6785324,683,-0.10722194438954,0.44629147597131,-0.0618814393696858,-0.10722194438954
"4","chr1",6785329,6785453,125,"+","CAMTA1",158,"NM_001195563",6785454,683,-0.10722194438954,0.44629147597131,-0.0618814393696858,-0.10722194438954
"5","chr1",7669605,7669729,125,"+","CAMTA1",167,"NM_001349614",7669730,695,-0.109343065580771,0.873776595066151,-0.00289736015762386,-0.109343065580771
"6","chr1",7669619,7669743,125,"+","CAMTA1",171,"NM_001349625",7669744,695,-0.109343065580771,0.873776595066151,-0.00289736015762386,-0.109343065580771
"7","chr1",7669640,7669764,125,"+","CAMTA1",172,"NM_001349617",7669765,695,-0.109343065580771,0.873776595066151,-0.00289736015762386,-0.109343065580771
"8","chr1",7680000,7680087,88,"+","CAMTA1",173,"NM_001349613",7680088,696,0.0298813712675308,0.983873663722074,0.0010499917154039,0.0298813712675308
"9","chr1",7704611,7704735,125,"+","CAMTA1",174,"NM_001349615",7704736,700,0.123364940527231,0.128440374800693,0.0404236938354469,0.123364940527231
"10","chr1",11654282,11654406,125,"+","FBXO44",255,"NM_001304791",11654407,15379,-0.649618731787646,0.60102099107934,-0.00534204197170077,-0.649618731787646
"11","chr1",11654732,11654856,125,"+","FBXO44",257,"NM_001014765",11654857,1135,0.617645955378407,0.0739008912226087,0.0285831219685877,0.617645955378407
"12","chr1",11654752,11654876,125,"+","FBXO44",262,"NM_033182",11654877,1135,0.617645955378407,0.0739008912226087,0.0285831219685877,0.617645955378407
"13","chr1",15152407,15152499,93,"+","TMEM51",331,"NM_001136217",15152532,1403,0.82377786128393,0.14354675488692,0.00496865108901936,0.82377786128393
"14","chr1",15152441,15152499,59,"+","TMEM51",332,"NM_001136216",15152566,1403,0.82377786128393,0.14354675488692,0.00496865108901936,0.82377786128393
"15","chr1",15153622,15153746,125,"+","TMEM51",333,"NM_001136218",15153747,1406,0.573338003978699,0.620026852274939,0.0172655740383138,0.573338003978699
"16","chr1",16895855,16895979,125,"+","RNVU1-18",383,"NR_004400",16895980,1651,-1.31468222531204,1.95047817742811e-07,-0.0736036172574483,-1.31468222531204
"17","chr1",28369615,28369739,125,"+","PHACTR4",713,"NM_001048183",28369740,3279,-0.0466430348578532,0.859664117218752,-0.00430417967566285,-0.0466430348578532
"18","chr1",28438025,28438149,125,"+","PHACTR4",718,"NM_023923",28438150,3286,3.64809200248547,3.40958110438028e-05,0.0276734059230589,3.64809200248547
"19","chr1",40040115,40040239,125,"+","CAP1",950,"NM_001350479",40040240,4399,-0.300388444435938,0.0142537828424236,-0.0731453055873731,-0.300388444435938
"20","chr1",40040604,40040728,125,"+","CAP1",952,"NM_001105530",40040729,4400,-0.0184311932418914,0.901209950492788,-0.00626673579838405,-0.0184311932418914
"21","chr1",40041000,40041025,26,"+","CAP1",963,"NM_001350481",40041026,4401,-0.654042985252193,0.551382599010766,-0.00747587190588038,-0.654042985252193
"22","chr1",40373602,40373726,125,"+","SMAP2",967,"NM_022733",40373727,4460,-0.0271681528594714,0.984036175200368,-0.00533233880508399,-0.0271681528594714
"23","chr1",40374508,40374632,125,"+","SMAP2",968,"NM_001198978",40374633,4462,-0.171904745928757,0.391710868140041,-0.0148169078022939,-0.171904745928757
"24","chr1",40393220,40393344,125,"+","SMAP2",969,"NM_001198979",40393345,4473,-1.00914398531527,0.0184729185851927,-0.0288867579636663,-1.00914398531527
"25","chr1",40396675,40396799,125,"+","SMAP2",970,"NM_001198980",40396800,4478,-0.0621357587906927,0.551382599010766,-0.00343353496437863,-0.0621357587906927
"26","chr1",40691579,40691703,125,"+","NFYC",989,"NM_001142587",40691704,4520,0.301589138713056,0.00419369242107179,0.0890172984468317,0.301589138713056
"27","chr1",40691883,40691999,117,"+","NFYC",993,"NM_001142590",40692008,4520,0.301589138713056,0.00419369242107179,0.0890172984468317,0.301589138713056
