"","seqnames","idx","start","end","Log2FC","FDR","MeanDiff"
"110631","chr2",1231,26493500,26493999,2.1247857565549,5.42931260792229e-29,0.1449689151328
"89485","chr17",6737,66691500,66691999,-1.44722212536442,1.18505027391948e-24,-0.194490953780083
"15024","chr1",11042,178932000,178932499,-1.10555807085692,2.80206280110389e-24,-0.219220546911006
"97080","chr19",106,704000,704499,0.596958468474838,6.35323902490448e-20,0.313289185140163
"54167","chr13",169,22009500,22009999,-0.889892799662578,2.0190149442758e-19,-0.312867506815193
"152045","chr4",334,2746000,2746499,1.3373499630888,1.01067198373376e-18,0.122512041996936
"155986","chr4",3013,86594000,86594499,-0.818548249109973,1.01067198373376e-18,-0.27283038715782
"93131","chr17",9414,83193000,83193499,1.12264547056512,1.88040612965727e-18,0.147261299978957
"107076","chr19",7670,49363500,49363999,0.71680574229263,3.90905142687239e-18,0.259707359604142
"66676","chr15",1075,45448000,45448499,1.14963124684719,9.28853312029656e-17,0.169773222923967
"131130","chr20",4427,63553500,63553999,1.15004619974603,2.43804521024714e-16,0.124285802034006
"138693","chr22",3409,49936000,49936499,0.545115165528029,6.45938028380019e-16,0.283436052057928
"17840","chr1",13082,212488500,212488999,1.16227403992986,9.49293717019957e-16,0.141105201912531
"60151","chr14",1365,55716000,55716499,-1.23685753906185,9.77740707461024e-16,-0.159991464070942
"126560","chr20",1102,17846000,17846499,-1.11536012751261,2.54595891968235e-15,-0.165267998376802
"91566","chr17",8242,78360000,78360499,0.852596901934582,2.81803249069573e-15,0.167065468887478
"134067","chr22",2,16601000,16601499,-1.0366679323557,6.28915297585197e-15,-0.166640424934075
"132038","chr21",408,31613000,31613499,-1.21929446400059,9.06037458426426e-15,-0.154559074531787
"31058","chr11",146,588000,588499,0.879613720376757,1.6467908246618e-14,0.174684095172179
"63631","chr14",3867,94110500,94110999,5.12140436995227,1.76805652648124e-14,0.0477089534045564
"56687","chr13",1921,74134000,74134499,-1.74087655779738,2.9462962649043e-14,-0.108130975299901
"64226","chr14",4238,100680500,100680999,-0.945346388915452,1.73839336051928e-13,-0.178097779145468
"74536","chr16",1712,17360500,17360999,-0.931504726647488,6.43117956596938e-13,-0.139266423967159
