"","Tile1","Tile2","cellTypes"
"1","chr1:1271493-1277058","chr1:1008296-1021819","nCD4,nCD8,Mac0,Mac1,Mac2,MK,Mon"
"2","chr1:1271493-1277058","chr1:1098888-1104828","nCD4,nCD8,Mac0,Mac1,Mac2,MK"
"3","chr1:1271493-1277058","chr1:1104828-1107763","nCD8"
"4","chr1:1271493-1277058","chr1:1133665-1148578","nCD8"
"5","chr1:1271493-1277058","chr1:1148578-1155854","Neu"
"6","chr1:1271493-1277058","chr1:1654117-1688313","Ery"
"7","chr1:1271493-1277058","chr1:1715717-1717271","nCD4,nCD8,Mac0,Mac1,Mac2,MK,Mon"
"8","chr1:1304045-1342719","chr1:1098888-1104828","nCD4,nCD8,Mac0,Mac1,Mac2,MK"
"9","chr1:1304045-1342719","chr1:1104828-1107763","nCD8"
"10","chr1:1304045-1342719","chr1:1133665-1148578","nCD8"
"11","chr1:1304045-1342719","chr1:1148578-1155854","nCD8"
"12","chr1:1374588-1377935","chr1:1148578-1155854","Ery"
"13","chr1:1374588-1377935","chr1:1715717-1717271","Mac1,Mac2,Neu"
"14","chr1:1570026-1581258","chr1:1610602-1617349","Ery"
"15","chr1:1610602-1617349","chr1:1715717-1717271","Mac1,Mac2,Neu"
"16","chr1:1717271-1741553","chr1:1610602-1617349","Neu"
"17","chr1:1717271-1741553","chr1:1654117-1688313","Mac1,Mac2,Neu"
"18","chr1:1889513-1899024","chr1:1610602-1617349","Ery"
"19","chr1:1889513-1899024","chr1:1715717-1717271","Neu"
"20","chr1:1889513-1899024","chr1:1767486-1777910","nCD4"
"21","chr1:2212208-2215850","chr1:2295976-2302207","nCD4"
"22","chr1:2224326-2234756","chr1:2295976-2302207","Ery"
"23","chr1:2224326-2234756","chr1:2351634-2356805","Mac1,MK"
"24","chr1:2224326-2234756","chr1:2565535-2583425","Neu"
"25","chr1:2388132-2392938","chr1:2151340-2156423","Neu"
"26","chr1:3665301-3674215","chr1:3614695-3628414","MK"
"27","chr1:3771982-3773759","chr1:3851876-3881384","Ery"
"28","chr1:3771982-3773759","chr1:6686358-6703327","Ery"
"29","chr1:3789378-3804275","chr1:6686358-6703327","Neu"
"30","chr1:3898971-3903119","chr1:3614695-3628414","Neu"
"31","chr1:3898971-3903119","chr1:3665301-3674215","MK"
"32","chr1:3898971-3903119","chr1:3851876-3881384","Mac1"
"33","chr1:3898971-3903119","chr1:5967902-5976716","nCD8,Neu"
"34","chr1:3898971-3903119","chr1:5993463-5998299","nCD8,Neu"
"35","chr1:3898971-3903119","chr1:5998299-6002123","Mac0,Mac1,Mac2,Mon"
"36","chr1:3898971-3903119","chr1:6043485-6056841","Mac2,MK"
"37","chr1:3898971-3903119","chr1:6785205-6800973","Neu"
"38","chr1:5989609-5993463","chr1:3614695-3628414","Mac0,Mac1,Mac2,Mon"
"39","chr1:5989609-5993463","chr1:6043485-6056841","Mac0,Mac1,Mac2,Mon"
"40","chr1:5989609-5993463","chr1:6056841-6057621","nCD4,nCD8"
